Niveau;Vocabulaire;Signification;Lecture
N3;;beau, joli;ハンサム
N2;判事;système judiciaire, magistrature;はんじ
N2;反省;introspection, méditation, contemplation,reconsidération;はんせい
N4;反対;opposé;はんたい
N4;反対;contraire, opposé, objection;はんたい
N3;判断;jugement, décision, verdict, conclusion;はんだん
N2;番地;numéro d'une maison;ばんち
N2;;sous-vêtements, culotte, slip;パンツ
N2;;groupe (de musique);バンド
N2;半島;péninsule;はんとう
N2;;sac à main;ハンドバッグ
N2;;poignée, guidon;ハンドル
N3;犯人;délinquant, criminel;はんにん
N3;販売;vente;はんばい
N5;半分;moitié;はんぶん
N2;番目;suffixe pour les nombres cardinaux;ばんめ
N4;火;feu;ひ
N4;日・陽;jour, soleil;ひ
N4;日;jour, soleil;ひ
N2;非;préfixe de négation (non-, an-, un-);ひ
N2;費;coût, dépense;ひ
N4;;piano;ピアノ
N3;;bière;ビール
N4;冷える [一段];refroidir, rafraîchir;ひえる
N3;被害;dommages, dégâts;ひがい
N2;日帰り;excursion d'une journée;ひがえり
N3;比較;comparaison;ひかく
N2;比較的;comparativement;ひかくてき
N2;日陰;ombre;ひかげ
N5;東;est;ひがし
N2;;étincelle, scintillement;ぴかぴか
N4;光;lumière;ひかり
N4;光る [五段];étinceler, briller, scintiller;ひかる
N5;匹;rouleau de tissu;ひき
N5;匹;compteur pour les petits animaux;ひき
N2;引き受ける [一段];"entreprendre, s'occuper de, avoir la responsabilité
de, garantir, assumer";ひきうける
N2;引き返す [五段];revenir à son point de départ, revenir en arrière;ひきかえす
N2;引算;soustraction;ひきざん
N4;引き出し;tiroir;ひきだし
N2;引き出す [五段];extraire, retirer, faire sortir;ひきだす
N2;引き止める [一段];retenir (quelqu'un), contenir;ひきとめる
N2;卑怯;lâche, poltron, peureux;ひきょう
N2;引き分け;match nul;ひきわけ
N5;引く [五段];jouer d'un instrument à corde, dessiner (ligne);ひく
N5;引く [五段];"tirer, attirer (l'attention, l'intérêt...), tracer (une
droite, un trait)";ひく
N3;轢く [五段];renverser quelqu'un avec un véhicule;ひく
N5;低い;bas, faible (température, rang, degré…);ひくい
N3;;pique-nique;ピクニック
N4;髭;barbe;ひげ
N3;悲劇;tragédie;ひげき
N3;飛行;aviation;ひこう
N5;飛行機;avion;ひこうき
N4;飛行場;terrain d'aviation;ひこうじょう
N3;膝;genoux;ひざ
N2;陽射・日差し;rayons de soleil, jour;ひざし
N4;久し振り;cela faisait longtemps;ひさしぶり
N2;肘;coude;ひじ
N4;美術館;galerie d'art;びじゅつかん
N3;非常;extraordinaire, étonnant, urgent;ひじょう
N4;非常に;extrêmement;ひじょうに
N3;美人;belle femme;びじん
N2;;pistolet, revolver;ピストル
N3;額;front;ひたい
N2;;vitamine;ビタミン
N5;左;gauche;ひだり
N2;引っ掛かる [五段];être pris dans, se faire avoir;ひっかかる
N2;引っ掛ける [一段];"accrocher quelque chose, suspendre, attraper,
enfiler en vitesse (des vêtements)";ひっかける
N2;筆記する;prendre des notes, écrire;ひっきする
N4;吃驚;surpris, étonné;びっくり
N2;引っ繰り返す [五段];retourner, renverser, faire chavirer;ひっくりかえす
N2;引っ繰り返る [五段];"se retourner, basculer par-dessus, tomber, être
renversé";ひっくりかえる
N4;吃驚する;être surpris;びっくりする
N3;日付;date;ひづけ
N2;引っ越し;déménagement, emménagement;ひっこし
N2;引越し;déménagement, emménagement;ひっこし
N4;引っ越す [五段];déménager;ひっこす
N2;引っ込む [五段];se retirer, s'écarter, ne plus pouvoir sortir;ひっこむ
N3;必死;mort certaine, résultat inéluctable, désespéré;ひっし
N2;筆者;écrivain, auteur;ひっしゃ
N2;必需品;"articles indispensables, articles de première
nécessité";ひつじゅひん
N3;;exactement, précisément, avec soin;ぴったり
N3;引っ張る [五段];tirer, retirer, étirer, traîner;ひっぱる
N4;必用;nécessaire;ひつよう
N4;必要;indispensable, nécessaire;ひつよう
N3;否定;démenti, refus, négation;ひてい
N3;;vidéo;ビデオ
N5;人;être humain, une personne;ひと
N4;酷い・非道い;cruel;ひどい
N3;一言;un mot;ひとこと
N3;人混み・人込み;beaucoup de monde, foule;ひとごみ
N2;人差し指;index (doigt);ひとさしゆび
N3;等しい;égal, similaire, identique;ひとしい
N5;一つ;un;ひとつ
N5;一月;un mois;ひとつき
N2;一通り;en général, du début à la fin, ordinaire, courant;ひととおり
N2;人通り;circulation piétonne;ひとどおり
N2;一まず;pour le moment;ひとまず
N2;瞳;pupille;ひとみ
N2;一休み;repos, pause;ひとやすみ
N5;一人;une personne;ひとり
N3;独り;seul, célibataire;ひとり
N2;独り言;monologue, le fait de parler tout seul;ひとりごと
N2;一人でに;automatiquement, de soi-même;ひとりでに
N3;一人一人;l'un après l'autre, chacun;ひとりひとり
N2;;vinyle;ビニール
N2;皮肉;ironie, sarcasme;ひにく
N2;日日;nombre de jours;ひにち
N2;捻る [五段];"tourner (un interrupteur), tordre, essayer de
comprendre, se creuser la tête";ひねる
N2;日の入り;coucher du soleil;ひのいり
N2;日の出;lever du soleil;ひので
N3;批判;critique, commentaire;ひはん
N2;批判する;critiquer, émettre un jugement;ひはんする
N2;日々;chaque jour, quotidiennement;ひび
N2;響き;écho, réverbération, bruit;ひびき
N2;響く [五段];résonner, retentir;ひびく
N3;批評;critique, commentaire;ひひょう
N2;皮膚;peau;ひふ
N5;暇;qui a du temps libre;ひま
N3;秘密;secret, mystère;ひみつ
N3;微妙;délicat, subtile;びみょう
N3;紐;corde, lacet, ficelle, proxénète;ひも
N5;百;cent;ひゃく
N2;冷やす [五段];refroidir, réfrigérer;ひやす
N2;百科事典・百科辞典;encyclopédie;ひゃっかじてん
N3;表;index, tableau, liste, répertoire;ひょう
N3;費用;coût, dépense;ひよう
N3;秒;seconde;びょう
N2;美容;soins de beauté, beauté du visage;びよう
N5;病院;hôpital;びょういん
N3;評価する;évaluer, estimer (un prix);ひょうかする
N5;病気;malade;びょうき
N3;表現;représentation, expression;ひょうげん
N2;表紙;couverture (d'un livre), reliure;ひょうし
N2;標識;pancarte, enseigne;ひょうしき
N2;標準;moyenne, norme, standard;ひょうじゅん
N3;表情;expression du visage;ひょうじょう
N3;平等;égalité, impartialité;びょうどう
N3;評判;popularité, réputation, célébrité, notoriété;ひょうばん
N2;標本;échantillon, modèle;ひょうほん
N3;表面;surface, apparence, extérieur;ひょうめん
N2;評論;critique (d'une œuvre);ひょうろん
N5;平仮名;hiragana (un des syllabaires japonais);ひらがな
N4;開く [五段];ouvrir (un compte en banque, un festival...);ひらく
N5;昼;midi;ひる
N4;;immeuble;ビル
N5;昼ご飯;repas de midi;ひるごはん
N2;昼寝;sieste;ひるね
N4;昼間;durant la journée;ひるま
N4;昼休み;pause déjeuner;ひるやすみ
N5;広い;large, vaste;ひろい
N4;拾う [五段];ramasser, recueillir;ひろう
N3;広がる [五段];s'étendre, se répandre, s'étirer, atteindre;ひろがる
N2;広げる [一段];élargir, étendre, agrandir, étaler;ひろげる
N2;広さ;étendue;ひろさ
N2;広場;place (en ville);ひろば
N2;広々;vaste, étendu, large;ひろびろ
N2;広める [一段];diffuser, propager, étendre;ひろめる
N3;品;compteur pour les plats d'un repas;ひん
N3;便;vol n°;びん
N3;瓶;bouteille, bocal, flacon;びん
N2;便;courrier, lettre, opportunité, chance;びん
N3;;épingle;ピン
N2;;rose (couleur);ピンク
N2;便箋;papier à lettre, bloc de papier;びんせん
N2;瓶詰;en bouteille;びんづめ
N3;不;préfixe de négation (non-, an-, un-);ふ
N2;部;"département, catégorie, partie, compteur pour les
exemplaires (d'un magazine, d'un journal…)";ぶ
N2;;fermeture éclair;ファスナー
N3;不安;insécurité, anxiété;ふあん
N5;;film;フィルム
N3;風景;paysage;ふうけい
N2;風船;ballon (de baudruche);ふうせん
N5;封筒;enveloppe;ふうとう
N3;夫婦;couple marié, mari et femme, époux;ふうふ
N5;;piscine;プール
N2;不運;malchance, infortune;ふうん
N3;笛;flûte, pipeau;ふえ
N4;増える [一段];augmenter, s'accroître;ふえる
N2;殖える [一段];augmenter, se multiplier;ふえる
N5;;fourchette;フォーク
N3;不可;mauvais, faux, injustifiable, déconseillé;ふか
N4;深い;profond;ふかい
N2;深まる [五段];se renforcer, s'intensifier, augmenter;ふかまる
N3;武器;arme;ぶき
N2;不規則;irrégulié, désordonnée, instable;ふきそく
N2;普及する;se propager, se diffuser;ふきゅうする
N2;普及する;se diffuser, se répandre, se propager;ふきゅうする
N2;付近;les alentours, les environs, le voisinage;ふきん
N5;服;vêtements;ふく
N5;吹く [五段];souffler (vent);ふく
N2;拭く [五段];essuyer;ふく
N4;複雑;compliqué;ふくざつ
N2;副詞;adverbe;ふくし
N2;複写;copie, reproduction, duplicata;ふくしゃ
N4;復習;révision;ふくしゅう
N2;複数;multiple, pluriel;ふくすう
N3;服装;vêtements, tenue, habits;ふくそう
N3;含む [五段];inclure, renfermer, contenir, garder à l'esprit;ふくむ
N2;含める [一段];inclure, enseigner quelque chose, faire comprendre;ふくめる
N2;膨らます [五段];grossir, enfler, gonfler;ふくらます
N2;膨らむ [五段];se gonfler, grossir, enfler;ふくらむ
N3;袋;sac;ふくろ
N2;不潔;sale, impur, crasseux;ふけつ
N2;更ける [一段];se faire tard, avancer;ふける
N3;不幸;désastre, décès, malheur;ふこう
N2;符号;signe, marque, symbole;ふごう
N2;夫妻;couple marié, homme et femme;ふさい
N2;塞がる [五段];"être obstrué, être bouché, être encombré, être
occupé";ふさがる
N2;塞ぐ [五段];boucher, encombrer, obstruer, occuper;ふさぐ
N2;巫山戯る [一段];plaisanter, blaguer, flirter;ふざける
N2;無沙汰;"ne pas rester en contact avec quelqu'un, absence de
nouvelles durant un long moment";ぶさた
N3;節;air, ton, jointure, articulation;ふし
N2;武士;guerrier, samouraï;ぶし
N3;無事;sain et sauf, sûr, sans risque;ぶじ
N3;不思議;étrange, extraordinaire, mistérieux, miraculeux;ふしぎ
N2;部首;radical (d'un kanji);ぶしゅ
N3;不自由;peu pratique, incommode, handicapant;ふじゆう
N3;夫人;dame, femme, Mme;ふじん
N3;婦人;femme, dame;ふじん
N2;襖;panneau coulissant;ふすま
N3;不正;injuste, inique, illégal, malhonnête;ふせい
N3;防ぐ [五段];défendre, protéger, prévenir (un danger);ふせぐ
N3;不足;insuffisant, défectueux, manque;ふそく
N2;付属する;"appartenir à, être rattaché à, être lié à, être associé
à";ふぞくする
N3;舞台;scène (de théâtre), cadre (d'un film, d'un roman…);ぶたい
N3;双子;jumeau;ふたご
N3;再び;à nouveau, encore une fois;ふたたび
N5;二つ;deux;ふたつ
N5;豚肉;porc;ぶたにく
N5;二人;deux personnes;ふたり
N3;普段;habituel, ordinaire;ふだん
N3;縁;bord extérieur, rebord, coin;ふち
N3;打つ [五段];frapper, tapper, cogner;ぶつ
N4;普通;habituel, ordinaire;ふつう
N2;不通;interruption, blocage, suspension;ふつう
N4;普通は;normalement;ふつうは
N5;二日;second jour du mois, 2 jours;ふつか
N3;物価;coût de la vie, les prix (en général);ぶっか
N2;打つかる [五段];entrer en collision, se cogner;ぶつかる
N2;打付ける [一段];frapper fort, clouer, rentrer dans;ぶつける
N3;物質;matière, substance;ぶっしつ
N2;物騒;dangereux, peu sûr;ぶっそう
N2;;grognement, plainte à voix basse;ぶつぶつ
N3;物理;physique (science);ぶつり
N3;筆;pinceau (pour écrire);ふで
N3;不図;par hasard, soudainement;ふと
N5;太い;gros, épais;ふとい
N4;葡萄;raisin;ぶどう
N4;太る [五段];grossir;ふとる
N4;布団;futon;ふとん
N2;船便;transport maritime;ふなびん
N4;船;bateau, navire;ふね
N2;部品;accessoire, pièces détachées;ぶひん
N2;吹雪;tempête de neige;ふぶき
N3;部分;portion, section, partie;ぶぶん
N3;不平;plainte, mécontentement;ふへい
N4;不便;incommode, peu pratique;ふべん
N3;不満;insatisfaction, mécontentement, déplaisir;ふまん
N2;踏切;croisement de chemin de fer, passage à niveau, ligne de départ;ふみきり
N4;践む・踏む [五段];marcher sur, piétiner, évaluer, estimer;ふむ
N2;麓;pied (d'une montagne), base;ふもと
N2;増やす・殖やす [五段];augmenter, ajouter à, accroître;ふやす
N5;冬;hiver;ふゆ
N2;;poêle à frire;フライパン
N2;;chemisier;ブラウス
N2;ぶら下げる [一段];suspendre, faire osciller, balancer;ぶらさげる
N2;;brosse;ブラシ
N3;;plus;プラス
N2;;plastique;プラスチック
N2;;quai d'une gare;プラットホーム
N3;;plan, projet;プラン
N3;不利;défavorable, inconvénient, désavantage;ふり
N2;振り;façon, manière, apparence;ふり
N2;;gratuit, libre;フリー
N2;振り仮名;furigana (petits hiraganas au dessus des kanjis);ふりがな
N2;振り向く [五段];se retourner, se tourner vers;ふりむく
N2;;imprimé, polycopié;プリント
N5;降る [五段];tomber (neige, pluie, grêle...);ふる
N3;振る [五段];"agiter, secouer, remuer, distribuer (un rôle à un
acteur)";ふる
N5;古い;vieux, âgé;ふるい
N3;震える [一段];trembler, vibrer, secouer;ふるえる
N2;振舞う [五段];se comporter, se conduire, recevoir (des personnes);ふるまう
N3;;frein;ブレーキ
N4;;cadeau;プレゼント
N3;触れる [一段];toucher, ressentir, percevoir, violer (des lois);ふれる
N3;風呂;bain;ふろ
N3;;professionnel;プロ
N2;;broche;ブローチ
N2;;programme;プログラム
N2;風呂敶;carré de tissu noué par les coins;ふろしき
N5;分;minute;ふん
N3;文;phrase, proposition grammaticale, écrit;ぶん
N3;雰囲気;ambiance, atmosphère;ふんいき
N2;噴火;éruption;ふんか
N4;文化;civilisation, culture;ぶんか
N2;分解;analyse, démontage, désassemblage;ぶんかい
N4;文学;littérature;ぶんがく
N2;文芸;arts et lettres, belles-lettres, littérature;ぶんげい
N2;文献;littérature, documents;ぶんけん
N5;文章;phrase, style d'écriture, texte;ぶんしょう
N2;噴水;fontaine;ふんすい
N2;分数;fraction (mathématique);ぶんすう
N3;分析;analyse;ぶんせき
N2;文体;style littéraire;ぶんたい
N2;分布;distribution, affectation, répartition;ぶんぷ
N4;文法;grammaire;ぶんぽう
N2;文房具;papeterie;ぶんぼうぐ
N2;文脈;contexte;ぶんみゃく
N3;文明;civilisation, culture;ぶんめい
N3;分野;domaine, secteur, branche;ぶんや
N2;分量;quantité, dose;ぶんりょう
N2;分類;classification;ぶんるい
N3;塀;mur, clôture;へい
N2;閉会;"fin (d'une réunion, d'un évènement, d'une
cérémonie)";へいかい
N2;平気;calme, cool, indifférent;へいき
N3;平均;équilibre, balance, moyenne;へいきん
N2;平行;"parallèle, en même temps, simultané, dans la même
direction";へいこう
N2;平日;jour travaillé de la semaine;へいじつ
N2;兵隊;soldat, marin;へいたい
N2;平凡;commun, ordinaire, quelconque, médiocre;へいぼん
N2;平野;plaine, campagne;へいや
N3;平和;paix;へいわ
N5;;page;ページ
N2;凹む [五段];"être cabossé, être bosselé, s'effondrer, céder,
s'enfoncer";へこむ
N2;臍;nombril;へそ
N5;下手;pas doué, mauvais;へた
N2;隔てる [一段];être séparé;へだてる
N4;別;autre, différent, séparé, distinct;べつ
N2;別荘;résidence secondaire, villa;べっそう
N5;;lit;ベッド
N4;別に;pas particulièrement;べつに
N2;別々;séparément;べつべつ
N2;;vétéran;ベテラン
N5;部屋;chambre;へや
N3;減らす [五段];diminuer, réduire, raccourcir;へらす
N2;;hélicoptère;ヘリコプター
N3;減る [五段];diminuer, réduire, baisser;へる
N4;;cloche;ベル
N3;;ceinture;ベルト
N5;辺;côté (d'un triangle par ex.), les alentours;へん
N4;変;bizarre, étrange;へん
N2;編;compilation (de textes), édition, livre, volume;へん
N5;;stylo;ペン
N3;変化;changement, transformation;へんか
N3;;peinture;ペンキ
N5;勉強;études, travail;べんきょう
N5;勉強する;étudier;べんきょうする
N3;変更;changement, modification;へんこう
N4;返事;réponse;へんじ
N4;返事する;répondre;へんじする
N2;編集;édition, compilation;へんしゅう
N2;便所;toilettes, WC;べんじょ
N3;;banc;ベンチ
N2;;pince, tenailles;ペンチ
N5;便利;pratique, utile;べんり
N2;歩;compteur pour les pas;ほ
N3;法;loi;ほう
N3;棒;bâton, baguette, barre;ぼう
N4;貿易;commerce (étranger);ぼうえき
N2;望遠鏡;téléscope;ぼうえんきょう
N2;方角;direction, côté;ほうがく
N3;冒険;aventure, risque, danger;ぼうけん
N2;方言;dialecte;ほうげん
N3;方向;direction, côté, orientation;ほうこう
N3;報告;rapport, compte-rendu;ほうこく
N2;坊さん;moine bouddhiste;ぼうさん
N5;帽子;chapeau;ぼうし
N2;防止;prévention, contrôle, empêchement;ぼうし
N2;方針;direction, objectif;ほうしん
N3;宝石;bijou, pierre précieuse;ほうせき
N4;放送;diffusion, émission;ほうそう
N2;包装;emballage, empaquetage;ほうそう
N2;法則;loi, règle;ほうそく
N2;包帯;pansement;ほうたい
N2;膨大;énorme, gigantesque, étendu, expansion,gonflement;ぼうだい
N2;庖丁;couteau de cuisine;ほうちょう
N2;方程式;équation;ほうていしき
N2;防犯;prévention du crime;ぼうはん
N3;豊富;abondant, riche, plein;ほうふ
N3;方法;méthode, manière;ほうほう
N3;方々;ici et là, partout;ほうぼう
N2;方面;direction, domaine (d'étude par exemple);ほうめん
N3;訪問;visite;ほうもん
N2;訪問する;rendre visite, visiter;ほうもんする
N2;坊や;garçon;ぼうや
N4;法律;loi;ほうりつ
N2;放る [五段];"abandonner, laisser à l'abandon, ne pas s'occuper,
lancer";ほうる
N3;吠える [一段];aboyer, rugir, beugler, mugir;ほえる
N3;頬;joue;ほお
N3;;garçon, serveur;ボーイ
N3;;bateau;ボート
N2;;bonus;ボーナス
N3;;maison, quai d'une gare;ホーム
N3;;balle, bol;ボール
N5;;stylo-bille;ボールペン
N5;他;divers, autre;ほか
N2;朗らか;étincelant, joyeux;ほがらか
N4;僕;je, moi, mon (familier);ぼく
N2;牧場;ferme, ranch, prairie, pâturage;ぼくじょう
N2;牧畜;élevage de bétail;ぼくちく
N5;;poche;ポケット
N2;保健;hygiène, préservation de la santé;ほけん
N3;誇り;fierté;ほこり
N3;埃;poussière;ほこり
N4;星;étoile;ほし
N5;欲しい;désiré, voulu;ほしい
N2;募集;embauche, recrutement;ぼしゅう
N3;保証;garantie, assurance, sécurité;ほしょう
N2;保障;garantie, assurance, sécurité;ほしょう
N2;干す [五段];sécher, déshydrater, aérer;ほす
N2;;affiche, poster;ポスター
N2;;boîte aux lettres, courrier, poste de travail;ポスト
N5;細い;fin, ténu;ほそい
N3;保存;conservation, stockage, préservation;ほぞん
N5;;bouton;ボタン
N2;北極;pôle Nord, Arctique;ほっきょく
N2;坊ちゃん;fils (de quelqu'un d'autre);ぼっちゃん
N5;;hôtel;ホテル
N4;程;limite, borne, dimension;ほど
N3;歩道;trottoir, chemin;ほどう
N3;仏;Bouddha, défunt, mort;ほとけ
N4;殆ど;presque, à peine, peu;ほとんど
N3;骨;os;ほね
N3;炎;flamme;ほのお
N3;微笑む [五段];sourire;ほほえむ
N4;褒める [一段];louer, admirer;ほめる
N3;濠;douves, tranchée, fossé;ほり
N2;掘る [五段];creuser, excaver;ほる
N2;彫る [五段];graver, sculpter, tailler;ほる
N2;藍褸;chiffons, haillons, vêtements usés, défaut;ぼろ
N5;本;livre;ほん
N5;本;compteur pour les objets ronds et longs;ほん
N2;盆;fête bouddhique des morts, fête des lanternes;ぼん
N5;本棚;bibliothèque (rangement);ほんだな
N2;盆地;bassin (géographique), vallée;ぼんち
N5;本当;vrai, véritable;ほんとう
N5;本当に;vraiment, réellement;ほんとうに
N3;本人;la personne elle-même, elle-même, lui-même;ほんにん
N2;本の;juste, seulement;ほんの
N2;本部;quartier général, administration centrale;ほんぶ
N3;本物;vrai, véritable, original (contraire d'une copie);ほんもの
N4;翻訳;traduction;ほんやく
N4;翻訳する;traduire;ほんやくする
N3;;être étourdi, distrait, évanoui, flou;ぼんやりする
N2;本来;à l'origine, au départ, par nature;ほんらい
N3;間;intervalle de temps, période;ま
N3;;eh bien…;まあ
N3;;marché;マーケット
N2;;"comme-ci comme-ça, moyen, interjection utilisée
pour calmer quelqu'un";まあまあ
N5;枚;compteur pour les objets plats comme des feuilles;まい
N2;毎;tous les, chaque;まい
N5;毎朝;tous les matins;まいあさ
N3;;micro;マイク
N3;迷子;enfant perdu;まいご
N5;毎週;toutes les semaines;まいしゅう
N2;枚数;nombre de choses plates (comme des feuilles);まいすう
N5;毎月;tous les mois;まいつき
N5;毎年・毎年;tous les ans;"まいとし・まい
ねん"
N2;;moins (signe mathématique pour la soustraction);マイナス
N5;毎日;tous les jours;まいにち
N5;毎晩;tous les soirs;まいばん
N4;参る [五段];venir, aller (hum);まいる
N2;舞う [五段];danser, voltiger, tournoyer;まう
N5;前;devant, avant;まえ
N5;前;avant, auparavant;まえ
N3;任せる [一段];"confier, laisser faire, charger quelqu'un de faire
quelque chose, continuer quelque chose sans but
particulier";まかせる
N2;賄う [五段];couvrir les coûts, subvenir aux besoins;まかなう
N5;曲がる [五段];tourner, se courber, se plier;まがる
N3;幕;rideau de scène, acte (au théâtre);まく
N2;巻く [五段];enrouler, rouler;まく
N2;蒔く・撒く [五段];éparpiller, disperser, répandre, semer (des graines);まく
N2;枕;oreiller;まくら
N3;負け;défaite;まけ
N4;負ける [一段];perdre, être vaincu;まける
N2;曲げる [一段];courber, plier;まげる
N3;孫;petits-enfants;まご
N2;;être confus;まごまごする
N3;;pas possible !, pas moyen !, en aucun cas !;まさか
N2;摩擦;friction, frottement;まさつ
N3;正に;exactement, certainement, précisément;まさに
N2;混ざる・交ざる [五段];être mélangé avec, être combiné à, s'associer avec;まざる
N2;増し;extra, additionnel, de plus;まし
N4;真面目;sérieux, sincère, honnête;まじめ
N2;交じる・混じる [五段];être mélangé avec, être combiné à, s'associer avec;まじる
N3;増す [五段];augmenter, grandir, croître;ます
N4;先ず;d'abord, en premier;まず
N5;不味い;peu appétisant, sans goût;まずい
N2;;masque;マスク
N3;貧しい;pauvre;まずしい
N3;;maîtriser, apprendre, maître;マスター
N3;益々;de plus en plus;ますます
N2;混ぜる・交ぜる [一段];mélanger, remuer, brasser;まぜる
N5;復;encore;また
N5;;à plus tard;また
N5;未だ;pas encore (+négatif), encore (+positif);まだ・いまだ
N2;跨ぐ [五段];enjamber;またぐ
N2;又は;ou, autrement;または
N4;;ou, autrement;まだは
N5;町・街;ville, quartier;まち
N2;待吅审;salle d'attente;まちあいしつ
N2;待ち吅わせる [一段];donner rendez-vous à quelqu'un;まちあわせる
N3;間違い;erreur, faute;まちがい
N2;間違う [五段];se tromper, faire une faute;まちがう
N4;間違える [一段];faire une erreur, se tromper, confondre;まちがえる
N2;街角;coin de la rue;まちかど
N2;区々;différent, varié, divers, contradictoire;まちまち
N5;待つ [五段];attendre;まつ
N3;松;pin;まつ
N3;真っ赤;cramoisi, pourpre;まっか
N2;真っ暗;obscurité totale, noir complet;まっくら
N2;真っ黒;tout noir, complètement noir;まっくろ
N2;真っ青;blême, livide, bleu foncé;まっさお
N2;真っ先;d'abord, en premier;まっさき
N2;真っ白;blanc immaculé;まっしろ
N2;真っ白い;blanc immaculé;まっしろい
N5;真っ直ぐ;droit devant, en face;まっすぐ
N3;全く;complètement, entièrement, totalement, vraiment, effectivement;まったく
N5;;match, allumette;マッチ
N4;祭;festival;まつり
N2;祭る [五段];déifier, adorer (un culte), vénérer, prier;まつる
N5;窓;fenêtre;まど
N2;窓口;guichet;まどぐち
N2;纏まる [五段];s'ordonner, s'établir, s'organiser;まとまる
N2;纏める [一段];mettre en ordre, rassembler, collecter, résumer;まとめる
N3;学ぶ [五段];étudier, apprendre en profondeur;まなぶ
N4;間に吅う [五段];être à l'heure, arriver à temps;まにあう
N3;真似;imitation, parodie;まね
N3;招く [五段];inviter, causer, provoquer;まねく
N2;真似る [一段];imiter, parodier, mimer;まねる
N2;眩しい;éblouissant, radieux, éclatant;まぶしい
N2;瞼;paupière;まぶた
N2;;"longue écharpe, silencieux (pour une moto, une
voiture…)";マフラー
N3;;maman;ママ
N4;;tel quel, comme, parce que;まま
N3;豆;pois, haricots, graine de soja;まめ
N2;間もなく;bientôt, sous peu;まもなく
N3;守る [五段];protéger, respecter (un règlement, une promesse…);まもる
N2;迷う [五段];"se perdre, s'égarer, être perplexe, être fasciné par,
hésiter";まよう
N2;;marathon;マラソン
N3;丸;cercle, rond, suffixe pour les noms de bateaux;まる
N2;円;cercle;まる
N5;丸い;rond, circulaire;まるい
N5;円い;rond, circulaire;まるい
N3;丸で;"entièrement, complètement, comme si, pour ainsi
dire";まるで
N2;稀;rare;まれ
N2;稀;rare;まれ
N3;回す [五段];tourner, faire circuler, entourer;まわす
N4;回り・周り;alentours, circonférence, contour;まわり
N2;回り道;détour;まわりみち
N4;回る [五段];faire le tour, circuler, aller partout autour;まわる
N5;万;dix-mille;まん
N3;万一;si jamais, si par hasard;まんいち
N2;満員;bondé, plein, complet;まんいん
N4;漫画;bande dessinée, manga;まんが
N2;;hôtel particulier, immeuble résidentiel de standing;マンション
N3;満足;satisfait;まんぞく
N2;満足;satisfaction;まんぞく
N2;満足する;être satisfait;まんぞくする
N2;満点;20 sur 20, note maximum;まんてん
N4;真ん中;milieu, centre;まんなか
N5;万年筆;stylo-plume;まんねんひつ
N2;真ん前;juste devant, juste en face de;まんまえ
N2;真ん丸い;parfaitement rond, parfaitement circulaire;まんまるい
N3;身;chair, corps, individu, personne;み
N3;实;fruit, noisette, noix, contenu;み
N2;未;pas encore;み
N2;;suffixe pour nominaliser des adjectifs, notamment ceux relatifs aux sens ou aux lieux (exemple : 甘 い,doux donnera 甘み, douceur);み
N2;見上げる [一段];"regarder vers le haut, regarder en levant les yeux,
admirer";みあげる
N4;見える [一段];être visible, apparaître, sembler;みえる
N3;見送り;"adieux, raccompagnement de quelqu'un (à la gare, à
l'aéroport...)";みおくり
N2;見送る [五段];raccompagner (quelqu'un pour son départ);みおくる
N2;見下ろす [五段];regarder d'en haut;みおろす
N5;磨く [五段];polir, nettoyer, faire briller;みがく
N2;見掛け;apparence extérieure;みかけ
N3;味方;allié, ami;みかた
N2;見方;point de vue, manière de voir;みかた
N2;三日月;nouvelle lune, croissant de lune;みかづき
N5;右;droite;みぎ
N3;見事;splendide, magnifique, merveilleux, beau;みごと
N2;岬;pointe, cap;みさき
N5;短い;court;みじかい
N2;惨め;misérable;みじめ
N2;;machine à coudre;ミシン
N3;;erreur, échec, mademoiselle, mythe;ミス
N5;水;eau;みず
N4;湖;lac;みずうみ
N2;自ら;soi-même, personnellement;みずから
N2;水着;maillot de bain;みずぎ
N5;店;magasin;みせ
N2;店屋;magasin, boutique;みせや
N5;見せる [一段];montrer, afficher, laisser montrer;みせる
N4;味噌;"miso (plat traditionnel japonais consistant en une
pâte fermentée et salée)";みそ
N2;;comme, similaire à, ressemblant à;みたい
N2;見出し;titre, en-tête, index, sous-titre;みだし
N5;道;chemin;みち
N2;道順;itinéraire, route;みちじゅん
N3;満ちる [一段];"être plein, être rempli, monter (en parlant de la
marée), mûrir, expirer";みちる
N3;密;dense, épais;みつ
N2;蜜;miel, nectar;みつ
N5;三日;troisième jour du mois, 3 jours;みっか
N4;見付かる [五段];être trouvé, être découvert;みつかる
N4;見付ける [一段];découvrir, trouver;みつける
N5;三つ;trois;みっつ
N2;見っともない;honteux, indécent;みっともない
N2;見詰める [一段];regarder fixement, fixer du regard;みつめる
N3;認める [一段];"reconnaître, apprécier, observer, remarquer,
admettre, approuver";みとめる
N4;緑;vert;みどり
N4;皆;tout le monde, tout;みな・みんな
N2;見直す [五段];reconsidérer, se refaire une opinion;みなおす
N5;皆さん;tout le monde;みなさん
N4;港;port;みなと
N5;单;sud;みなみ
N2;見慣れる [一段];être habitué à voir quelque chose, être familier avec;みなれる
N2;醜い;moche, laid, hideux;みにくい
N2;实る [五段];mûrir, porter ses fruits;みのる
N2;身分;statut social, position sociale;みぶん
